date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-12-30,3.24,3.29,3.29,3.23,250728.69,0.05,1.54,3.25,3.259,3.242,147240.79,156617.24,127599.45,0.73
2019-12-27,3.25,3.27,3.24,3.23,166268.33,0.0,0.0,3.236,3.255,3.24,125685.91,147106.58,118955.41,0.48
2019-12-26,3.23,3.25,3.24,3.23,123702.83,0.01,0.31,3.242,3.254,3.24,113493.47,145022.68,113985.38,0.36
2019-12-25,3.25,3.25,3.23,3.22,97404.25,-0.02,-0.61,3.252,3.25,3.239,114175.29,139685.59,111778.95,0.28
2019-12-24,3.23,3.26,3.25,3.22,98099.83,0.03,0.93,3.26,3.248,3.239,130216.83,140171.29,110739.45,0.28
2019-12-23,3.27,3.27,3.22,3.22,142954.33,-0.05,-1.53,3.268,3.245,3.239,165993.69,143267.03,110528.48,0.41
2019-12-20,3.29,3.3,3.27,3.27,105306.11,-0.02,-0.61,3.274,3.247,3.241,168527.25,137423.41,112734.03,0.3
2019-12-19,3.27,3.29,3.29,3.27,127111.95,0.02,0.61,3.266,3.244,3.237,176551.89,135304.51,112601.42,0.37
2019-12-18,3.28,3.3,3.27,3.26,177611.94,-0.02,-0.61,3.248,3.237,3.232,165195.89,129981.4,108590.72,0.51
2019-12-17,3.24,3.31,3.29,3.23,276984.12,0.04,1.23,3.236,3.231,3.228,150125.74,119205.52,103320.47,0.8
2019-12-16,3.23,3.25,3.25,3.22,155622.12,0.02,0.62,3.222,3.225,3.224,120540.37,98581.66,94243.83,0.45
2019-12-13,3.21,3.24,3.23,3.2,145429.3,0.03,0.94,3.22,3.224,3.221,106319.57,90804.23,90442.46,0.42
2019-12-12,3.22,3.22,3.2,3.19,70331.98,-0.01,-0.31,3.222,3.225,3.219,94057.14,82948.08,88229.58,0.2
2019-12-11,3.22,3.22,3.21,3.2,102261.2,-0.01,-0.31,3.226,3.228,3.22,94766.9,83872.31,91228.57,0.3
2019-12-10,3.23,3.24,3.22,3.21,129057.24,-0.02,-0.62,3.226,3.23,3.22,88285.3,81307.61,90852.09,0.37
2019-12-09,3.24,3.25,3.24,3.22,84518.15,0.0,0.0,3.228,3.232,3.221,76622.95,77789.94,91131.9,0.24
2019-12-06,3.23,3.24,3.24,3.21,84117.11,0.02,0.62,3.228,3.234,3.219,75288.89,88044.66,93222.96,0.24
2019-12-05,3.21,3.24,3.22,3.21,73880.82,0.01,0.31,3.228,3.23,3.22,71839.03,89898.33,93275.94,0.21
2019-12-04,3.22,3.23,3.21,3.2,69853.19,-0.02,-0.62,3.23,3.227,3.222,72977.71,87200.04,93242.22,0.2
2019-12-03,3.23,3.24,3.23,3.2,70745.46,-0.01,-0.31,3.234,3.224,3.225,74329.91,87435.42,95272.73,0.2
